,环境温度[°C],变浆电机1温度[°C],变浆电机2温度[°C],变浆电机3温度[°C],变浆电机1扭矩[Nm],变浆电机2扭矩[Nm],变浆电机3扭矩[Nm],有功功率[kW],1秒平均风速[m/s],叶片1角度[°],发电机平均转速[rpm]
31412,27.96,60.51,55.27,59.29,15.47,14.31,14.86,1.52647,13.99,8.85,1796.08
31413,27.7,60.87,55.51,59.89,13.98,12.7,13.32,1.52837,15.34,12.21,1796.23
31414,27.55,62.13,56.35,60.49,15.08,13.67,14.2,1.52673,14.41,10.49,1796.93
31415,27.29,62.81,56.18,60.47,14.1,12.68,13.13,1.52554,15.91,13.18,1795.74
31416,27.41,63.08,56.57,60.7,15.22,13.95,14.2,1.52443,14.29,10.23,1795.38
31417,27.45,64.2,57.78,62.55,15.99,14.63,15.08,1.52698,13.79,9.22,1796.49
31424,27.96,66.61,62.07,65.7,14.03,13.8,13.98,1.48019,15.3,11.44,1796.13
31705,30.17,51.59,50.57,53.84,14.71,15.09,15.21,1.51627,13.83,7.82,1794.38
35164,36.96,39.44,35.29,39.62,15.86,14.38,15.92,1.51435,13.3,7.1,1796.03
35166,33.88,47.79,42.06,48.62,15.12,13.72,15.35,1.52214,13.78,7.96,1796.26
36204,30.57,52.78,46.45,52.6,15.79,12.64,14.9,1.52835,15.23,11.27,1795.25
43815,14.27,46.06,43.25,47.13,17.29,16.02,17.35,1.49675,13.35,4.95,1767.68
44081,11.22,47.9,48.04,53.33,15.74,15.59,16.73,1.46691,13.03,3.99,1771
44082,11.39,48.03,47.84,53.46,14.92,14.65,15.94,1.49584,13.96,6.9,1765.32
44225,14.67,43.26,44.2,48.53,15.57,15.86,16.88,1.38105,13.56,3.26,1767.03
46325,12.82,50,50.52,62.89,15.02,15.91,22.7,1.50055,13.89,4.91,1765.38
46326,12.94,50.86,52.36,66.73,16.52,17.99,23.67,1.49899,13.13,2.64,1765.61
46332,11.91,52.56,54.24,64.6,16.24,17.56,21.53,1.49412,13.99,2.38,1778.95
